  new family #0 KD beta(even,odd)=(1,0)  w7=ooooooo/booooob/.boooow/booooob/ooooooo
w=9 opening (1,3), target 0 [3s, searches 0]
  child value (White to move) = -1/2
  reply none: best cut sum -3/8 [4:1/4][5:-5/8]  OK
  reply (0,0): best cut sum 3/8 [4:1][5:-5/8]
  reply (4,0): best cut sum 7/16 [3:15/16][6:-1/2]
  reply (0,1): best cut sum 5/4 [2:2][7:-3/4]
  reply (1,1): best cut sum 5/8 [4:5/4][5:-5/8]
  reply (3,1): best cut sum 1/2 [6:1][3:-1/2]
  reply (4,1): best cut sum 13/8 [2:2][7:-3/8]
  reply (0,2): best cut sum -1/8 [4:1/2][5:-5/8]  OK
  reply (1,2): best cut sum 5/4 [3:11/4][6:-3/2]
  reply (2,2): best cut sum 1/8 [4:3/4][5:-5/8]
  reply (3,2): best cut sum 2 [3:3][6:-1]
  reply (4,2): best cut sum 1/4 [3:3/4][6:-1/2]
  reply (0,3): best cut sum 1 [3:1][6:0]
  reply (2,3): best cut sum 2 [3:2][6:0]
  reply (3,3): best cut sum 0 [3:1/4][6:-1/4]  OK
  reply (4,3): best cut sum 7/4 [3:2][6:-1/4]
  reply (0,4): best cut sum -1/4 [4:1/4][5:-1/2]  OK
  reply (1,4): best cut sum 15/8 [4:0][5:15/8]
  reply (2,4): best cut sum 0 [3:1/4][6:-1/4]  OK
  reply (3,4): best cut sum 2 [3:2][6:0]
  reply (4,4): best cut sum 0 [4:1/4][5:-1/4]  OK
  reply (0,5): best cut sum 3/2 [4:0][5:3/2]
  reply (1,5): best cut sum 1/8 [4:1/4][5:-1/8]
  reply (2,5): best cut sum 2 [3:2][6:0]
  reply (3,5): best cut sum 1/8 [4:1/4][5:-1/8]
  reply (4,5): best cut sum 13/8 [5:5/8][4:1]
  reply (0,6): best cut sum 0 [4:1/4][5:-1/4]  OK
  reply (1,6): best cut sum 2 [3:1/4][6:7/4]
  reply (2,6): best cut sum 1/8 [4:1/4][5:-1/8]
  reply (3,6): best cut sum 2 [3:2][6:0]
  reply (4,6): best cut sum 0 [4:1/4][5:-1/4]  OK
  reply (0,7): best cut sum 3/2 [7:1/2][2:1]
  reply (1,7): best cut sum 1/2 [4:1/4][5:1/4]
  reply (2,7): best cut sum 2 [3:2][6:0]
  reply (3,7): best cut sum 1/2 [4:1/4][5:1/4]
  reply (4,7): best cut sum 7/4 [7:3/4][2:1]
  => CLOSES with exact bounds
